"timestamp CLC";"x CLC";"y CLC";"id CLC";"timestamp MVT";"x MVT";"y MVT";"timestamp TOC";"id TOC";
;;;;;;;"15635839";"à";
;;;;;;;"15635886";"w";
;;;;;;;"15635902";"p";
;;;;;;;"15635902";"j";
;;;;;;;"15636011";",";
;;;;;;;"15636011";"k";
;;;;;;;"15636089";"ESPACE";
;;;;;;;"15636120";";";
;;;;;;;"15636151";":";
;;;;;;;"15636323";"é";
;;;;;;;"15636401";"r";
;;;;;;;"15636432";"""";
;;;;;;;"15636495";"z";
;;;;;;;"15636510";"f";
;;;;;;;"15636526";"e";
;;;;;;;"15636588";"q";
;;;;;;;"15636697";"d";
;;;;;;;"15636697";"à";
;;;;;;;"15636697";"u";
;;;;;;;"15636713";"ç";
;;;;;;;"15636713";"w";
;;;;;;;"15636729";"j";
;;;;;;;"15636760";"p";
;;;;;;;"15636775";"i";
;;;;;;;"15636822";"n";
;;;;;;;"15636838";"k";
;;;;;;;"15636885";"ESPACE";
;;;;;;;"15636900";"m";
;;;;;;;"15636931";",";
;;;;;;;"15636978";":";
;;;;;;;"15637087";"F2";
;;;;;;;"15637087";"(";
;;;;;;;"15637181";"é";
;;;;;;;"15637228";"r";
;;;;;;;"15637243";"'";
;;;;;;;"15637368";"<";
;;;;;;;"15637384";"z";
;;;;;;;"15637384";"e";
;;;;;;;"15637399";"f";
;;;;;;;"15637509";"c";
;;;;;;;"15637540";"d";
;;;;;;;"15637618";"w";
;;;;;;;"15637618";"ESPACE";
;;;;;;;"15637633";"x";
;;;;;;;"15638148";"F3";
;;;;;;;"15638148";"(";
;;;;;;;"15638242";"a";
;;;;;;;"15638242";"F4";
;;;;;;;"15638304";"""";
;;;;;;;"15638367";"'";
;;;;;;;"15638647";"s";
;;;;;;;"15638647";"d";
;;;;;;;"15638663";"f";
;;;;;;;"15638663";"v";
;;;;;;;"15638679";"WINDOWS GAUCHE";
;;;;;;;"15638741";"x";
;;;;;;;"15638788";"c";
;;;;;;;"15638788";"ESPACE";
;;;;;;;"15639381";"""";
;;;;;;;"15639381";"F7";
;;;;;;;"15639396";"F4";
;;;;;;;"15639661";"d";
;;;;;;;"15639661";"r";
;;;;;;;"15639661";"g";
;;;;;;;"15639677";"f";
;;;;"15639677";"1010";"592";;;
;;;;"15639693";"1010";"600";;;
;;;;"15639708";"1009";"627";;;
;;;;"15639724";"1006";"664";;;
;;;;;;;"15639771";"x";
;;;;;;;"15639786";"b";
;;;;;;;"15639786";"v";
;;;;;;;"15639802";"c";
;;;;;;;"15639849";"ESPACE";
;;;;;;;"15639880";"";
;;;;;;;"15640488";"t";
;;;;;;;"15640566";"r";
;;;;"15641440";"1006";"670";;;
;;;;"15641455";"1001";"669";;;
;;;;"15641471";"989";"664";;;
;;;;"15641487";"887";"640";;;
;;;;"15641502";"750";"614";;;
;;;;"15641518";"652";"596";;;
;;;;"15641549";"607";"584";;;
;;;;"15641565";"603";"583";;;
;;;;"15641767";"602";"582";;;
;;;;"15641783";"602";"579";;;
;;;;"15641799";"603";"578";;;
;;;;"15641814";"604";"576";;;
;;;;"15641830";"605";"575";;;
;;;;"15641845";"605";"574";;;
;;;;"15641877";"605";"571";;;
;;;;"15641892";"602";"543";;;
;;;;"15641908";"587";"472";;;
;;;;"15641923";"580";"447";;;
;;;;"15641939";"568";"395";;;
;;;;"15641955";"561";"375";;;
;;;;"15642157";"560";"370";;;
;;;;"15642173";"561";"370";;;
;;;;"15642189";"563";"370";;;
;;;;"15642204";"574";"371";;;
;;;;"15642220";"590";"371";;;
;;;;"15642235";"597";"371";;;
;;;;"15642251";"612";"372";;;
;;;;"15642282";"622";"373";;;
;;;;"15642282";"624";"373";;;
;;;;"15642298";"626";"373";;;
;;;;;;;"15643827";"ESPACE";
;;;;;;;"15644014";"ESPACE";
"15644045";"627";"373";"LEFT CLIC";;;;;;
;;;;;;;"15644139";"ESPACE";
"15644201";"627";"373";"RIGHT CLIC";;;;;;
;;;;"15644232";"627";"373";;;
;;;;"15644295";"627";"373";;;
"15644310";"627";"373";"LEFT CLIC";;;;;;
;;;;"15644357";"627";"373";;;
;;;;;;;"15644373";"ESPACE";
"15644404";"627";"373";"RIGHT CLIC";;;;;;
;;;;"15644466";"627";"373";;;
;;;;;;;"15644482";"ESPACE";
"15644575";"627";"373";"LEFT CLIC";;;;;;
"15644638";"627";"373";"RIGHT CLIC";;;;;;
;;;;"15644669";"627";"373";;;
;;;;"15644716";"627";"373";;;
"15644731";"627";"373";"LEFT CLIC";;;;;;
;;;;"15644887";"627";"373";;;
;;;;"15645433";"627";"373";;;
;;;;"15645449";"626";"374";;;
;;;;"15645465";"595";"405";;;
;;;;"15645480";"557";"460";;;
;;;;"15645511";"485";"624";;;
;;;;"15645527";"456";"772";;;
;;;;"15645543";"456";"817";;;
;;;;"15645558";"483";"887";;;
;;;;"15645574";"539";"925";;;
;;;;"15645589";"624";"925";;;
;;;;"15645605";"655";"916";;;
;;;;"15645621";"720";"855";;;
;;;;"15645652";"784";"705";;;
;;;;"15645667";"792";"520";;;
;;;;"15645683";"780";"463";;;
;;;;"15645699";"734";"396";;;
;;;;"15645714";"636";"382";;;
;;;;"15645730";"542";"440";;;
;;;;"15645745";"506";"483";;;
;;;;"15645761";"433";"606";;;
;;;;"15645777";"410";"705";;;
;;;;"15645792";"410";"738";;;
;;;;"15645808";"439";"806";;;
;;;;"15645839";"525";"864";;;
;;;;"15645855";"640";"885";;;
;;;;"15645870";"674";"885";;;
;;;;"15645886";"736";"856";;;
;;;;"15645901";"787";"768";;;
;;;;"15645917";"797";"708";;;
;;;;"15645933";"786";"586";;;
;;;;"15645948";"733";"503";;;
;;;;"15645964";"651";"458";;;
;;;;"15645995";"621";"458";;;
;;;;"15646011";"552";"501";;;
;;;;"15646026";"490";"613";;;
;;;;"15646042";"475";"666";;;
;;;;"15646057";"481";"766";;;
;;;;"15646073";"522";"819";;;
;;;;"15646089";"627";"859";;;
;;;;"15646104";"674";"859";;;
;;;;"15646120";"767";"814";;;
;;;;"15646151";"838";"717";;;
"15646291";"861";"660";"LEFT CLIC";;;;;;
;;;;;;;"15646354";"ESPACE";
"15646354";"861";"660";"RIGHT CLIC";;;;;;
;;;;"15646447";"861";"660";;;
;;;;;;;"15646447";"ESPACE";
;;;;"15646510";"861";"660";;;
"15646572";"861";"660";"LEFT CLIC";;;;;;
"15646619";"861";"660";"RIGHT CLIC";;;;;;
;;;;;;;"15646650";"ESPACE";
